Strain Name,Species,Review Count,Rating Value,Pain,Euphoric,Fatigue,Paranoid,Focused,Spasticity,Nausea,Tingly,Headache,Dry Mouth,Aroused,Happy,Muscle Spasms,Uplifted,Anxious,Energetic,Headaches,Depression,Giggly,Talkative,Dizzy,Insomnia,Inflammation,Stress,Relaxed,Seizures,Cramps,Sleepy,Hungry,Lack of Appetite,Dry Eyes,Creative,Eye Pressure,Orange,Violet,Mint,Peach,Chestnut,Rose,Coffee,Citrus,Lime,Plum,Sage,Pine,Pungent,Pear,Tar,Tree Fruit,Berry,Vanilla,Pepper,Chemical,Tea,Ammonia,Apple,Skunk,Pineapple,Grapefruit,Honey,Earthy,Cheese,Blue Cheese,Tropical,Grape,Lemon,Flowery,Strawberry,Butter,Tobacco,Spicy/Herbal,Woody,Blueberry,Sweet,Lavender,Nutty,Apricot,Diesel,Menthol,Mango
LVPK,hybrid,21,4.5,100,37.86407767,0,19.67213115,0,0,100,0,0,14.75409836,0,100,0,0,0,0,62.5,0,0,0,100,0,0,100,91.26213592,0,0,73.78640777,79.61165049,75,14.75409836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kiss,hybrid,9,4.7,100,66.66666667,100,100,66.66666667,0,0,0,0,100,0,0,0,0,50,0,0,50,0,0,0,0,0,100,0,0,0,100,100,100,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durban Berry,hybrid,20,4.7,0,0,76.62337662,0,77.05263158,0,80.51948052,0,0,15.25423729,0,81.47368421,0,64.63157895,0,0,76.62337662,94.15584416,0,0,0,0,0,100,100,0,0,0,0,0,100,56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lime Purple Mist,indica,4,4.3,100,0,0,0,0,0,0,66.66666667,0,100,0,100,0,33.33333333,0,0,0,50,0,0,0,0,0,100,100,0,100,66.66666667,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Candyland,sativa,728,4.6,69.10558638,80.49071022,51.83966412,39.92636877,0,0,0,0,30.36549173,100,0,100,0,85.73812048,37.46479859,72.77362748,36.89635282,100,0,0,0,0,0,93.43375602,69.03788362,0,0,0,0,0,76.98469808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Blue Cinex,hybrid,7,4.8,66.66666667,0,66.66666667,0,77.27272727,0,0,0,0,28.57142857,0,100,0,100,0,0,0,100,0,0,0,0,33.33333333,100,81.81818182,0,0,0,0,0,100,72.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Guard Dawg,indica,4,3.9,0,0,0,0,0,0,0,0,0,0,0,45.23809524,57.57575758,33.33333333,0,0,0,100,33.33333333,0,100,84.84848485,57.57575758,84.84848485,78.57142857,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Banana Diesel,hybrid,63,4.4,15.67164179,0,8.208955224,0.458715596,83.3836858,0,0,0,0.458715596,100,0,100,0,67.67371601,0,0,7.462686567,91.04477612,0,0,0.917431193,0,0,100,67.52265861,0,0,0,18.12688822,0,2.064220183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Crouching Tiger Hidden Alien,indica,16,4.8,0,55.63909774,50,0,0,0,0,51.12781955,0,100,0,60.15037594,45.16129032,65.41353383,0,0,0,50,0,0,25,0,0,100,100,0,0,0,0,45.16129032,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic Screwdriver,sativa,15,4.6,100,28.45528455,8,0,0,0,0,0,0,100,0,100,0,93.49593496,0,90.24390244,0,92,26.82926829,0,8,0,0,32,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
