strain_name,species,flavour1,flavour2,flavour3,prop1,val1,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,prop8,val8,prop9,val9,prop10,val10,prop11,val11,prop12,val12,prop13,val13,prop14,val14,prop15,val15
Suicide Girl,hybrid,Violet,Sweet,Citrus,Talkative,100,Uplifted,100,Euphoric,100,Tingly,75,Relaxed,75,Depression,100,Eye Pressure,50,Fatigue,50,Muscle Spasms,50,Nausea,50,Dizzy,100,Dry Eyes,50,Dry Mouth,50,Headache,50,Paranoid,50
Killer Queen,hybrid,Sweet,Pungent,Earthy,Euphoric,100,Creative,98.20627803,Happy,80.2690583,Uplifted,79.37219731,Energetic,56.05381166,Fatigue,100,Stress,81.57894737,Depression,75.65789474,Pain,51.97368421,Insomnia,40.13157895,Dry Mouth,100,Dry Eyes,63.35403727,Paranoid,4.347826087,Dizzy,3.726708075,Headache,3.105590062
Blueberry Dream,sativa,Blueberry,Sweet,Berry,Happy,100,Relaxed,84.375,Uplifted,68.75,Energetic,55.20833333,Talkative,52.08333333,Stress,100,Depression,75.47169811,Pain,73.58490566,Insomnia,49.05660377,Fatigue,47.16981132,Dry Mouth,100,Dry Eyes,88.88888889,Dizzy,51.85185185,,,,
501st OG,hybrid,Pungent,Skunk,Earthy,Relaxed,100,Euphoric,69.5818949,Happy,64.1350211,Uplifted,58.41963943,Focused,51.82201764,Pain,100,Stress,89.43965517,Insomnia,64.00862069,Headaches,61.63793103,Depression,56.46551724,Dry Mouth,100,Dry Eyes,21.64090369,Anxious,7.015457788,Headache,2.972651605,Dizzy,1.189060642
Blueberry Pancakes,hybrid,Blueberry,Sweet,Berry,Relaxed,100,Happy,90.5982906,Uplifted,17.94871795,Euphoric,16.66666667,Sleepy,10.25641026,Headaches,100,Pain,22.6744186,Stress,22.6744186,Lack of Appetite,17.44186047,Nausea,16.27906977,Dry Mouth,100,Dry Eyes,40,,,,,,
Sour Chunk,hybrid,Sweet,Earthy,Diesel,Relaxed,100,Creative,85.71428571,Euphoric,85.71428571,Hungry,85.71428571,Happy,57.14285714,Stress,100,Cramps,50,Depression,50,Headaches,50,Inflammation,50,Dry Eyes,100,Dry Mouth,100,Dizzy,50,Headache,50,Anxious,50
Golden Gage,hybrid,Pepper,Spicy/Herbal,Citrus,Happy,100,Uplifted,75,Energetic,75,Relaxed,75,Aroused,50,Depression,100,Stress,100,Fatigue,50,Pain,50,Dry Mouth,100,,,,,,,,,,
Bubba Hash,indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Champagne,indica,Berry,Grape,Sweet,Relaxed,100,Happy,51.29792473,Euphoric,50.89693985,Uplifted,50.53816391,Sleepy,19.88040802,Fatigue,100,Stress,71.66799681,Insomnia,64.09616919,Headaches,63.58739026,Pain,59.57701516,Dry Mouth,100,Dry Eyes,86.95652174,Dizzy,7.784842756,Paranoid,1.752878501,Anxious,0.876439251
Yoda's Brain,indica,Earthy,Sage,Pungent,Happy,100,Relaxed,87.5,Sleepy,62.5,Hungry,52.08333333,Uplifted,27.08333333,Spasticity,100,Stress,83.33333333,Insomnia,75,Pain,50,Depression,41.66666667,Dry Mouth,100,Dry Eyes,43.47826087,,,,,,
